id,source,headline,url,checkworthy,sentiment,raw_response,model,checkworthy_confidence,sentiment_confidence
1,Prothom Alo,সিমন নামের এক নীরব প্রাচীর,https://www.prothomalo.com/sports/football/m1lh91krmz,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,0.98,0.85
2,Prothom Alo,বিশ্বকাপে ফরাসি সৌরভ এবং স্পেন-বেলজিয়াম,https://www.prothomalo.com/video/sports/6x8nkqrmi3,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.9}",gemma-3-4b-it,0.96,0.9
3,Prothom Alo,আর্জেন্টিনার কাছে ‘বিতর্কিতভাবে’ হেরে বিদায় নেওয়া মিসর পেল ছাদখোলা বাসে সংবর্ধনা,https://www.prothomalo.com/sports/football/rp95vf8j9k,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.97,0.88
4,Prothom Alo,"সিআইএ, রহস্যময় খিঁচুনি, ওষুধ প্রয়োগ—বিশ্বকাপে যত ষড়যন্ত্র–তত্ত্ব",https://www.prothomalo.com/sports/football/vqg4up9497,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.94, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.91}",gemma-3-4b-it,0.94,0.91
5,Prothom Alo,মেসির সঙ্গে এমবাপ্পের হাড্ডাহাড্ডি লড়াই—দেখুন পরিসংখ্যান,https://www.prothomalo.com/sports/football/v3muwgtu16,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.99, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.97}",gemma-3-4b-it,0.99,0.97
6,Prothom Alo,"বার্সেলোনায় এই বেলজিয়াম দলের একজনকেই চাইতেন ইয়ামাল, তিনি কে",https://www.prothomalo.com/sports/football/oo8yfsvesq,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.98, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.95}",gemma-3-4b-it,0.98,0.95
7,Prothom Alo,স্পেন কেন গোল হজম করছে না,https://www.prothomalo.com/sports/football/lnlehneckk,Yes,Neutral,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.97, ""sentiment"": ""Neutral"", ""sentiment_confidence"": 0.96}",gemma-3-4b-it,0.97,0.96
8,Prothom Alo,মোমেন্ট অব দ্য ডে,https://www.prothomalo.com/sports/football/7mayjdsu3e,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 1.0, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.85}",gemma-3-4b-it,1.0,0.85
9,Prothom Alo,"মরক্কো কোচের দাবি হ্যান্ডবল হয়েছিল, রেফারির সিদ্ধান্ত কি সঠিক",https://www.prothomalo.com/sports/football/azw1ox8jqb,Yes,Negative,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 0.96, ""sentiment"": ""Negative"", ""sentiment_confidence"": 0.88}",gemma-3-4b-it,0.96,0.88
10,Prothom Alo,"৬ মিনিটের ঝড়ে উড়ে গেল মরক্কো, সেমিফাইনালে ফ্রান্স",https://www.prothomalo.com/video/lagxbce1pj,Yes,Positive,"{""checkworthy"": ""Yes"", ""checkworthy_confidence"": 1.0, ""sentiment"": ""Positive"", ""sentiment_confidence"": 0.92}",gemma-3-4b-it,1.0,0.92
